User,Bot
then go find a tissue in the bathroom.,i didn't have time to get one from there.
you didn't read about the company first?,i didn't have to. it's been in business for 60 years.
is that right?,i didn't hear anything about it.
"you're not lying, i found that movie absolutely hilarious.",i didn't know that you saw superbad before.
debrah already had her baby.,i didn't know that.
i teach high school english.,i didn't know that.
i'll keep my receipt and my gun.,i didn't know you had a gun.
i've always liked to draw and paint.,i didn't know you knew how to draw and paint.
"yes, it was love at first sight.",i didn't love you at first.
i'm throwing a party on friday.,i didn't realize that.
do you think i'm getting fat?,i didn't say that.
you're right. that movie is hilarious.,i didn't think you saw that movie.
why not?,i didn't want to pay for the holes.
of course. did you?,"i didn't want to, so i didn't."
i didn't know you knew how to draw and paint.,i do it every once in a while.
i really wish the weather would just stay the same.,i do too. that way we can have our activities planned ahead of time.
do you believe everything you hear?,i don't believe anything i don't see with my own eyes.
they work great.,i don't care. i don't like to put drops in my nose.
it shouldn't take him long to fix it.,i don't even know why we need to fix it.
why is that?,i don't feel like going.
"no, i don't. do you?","i don't have a girlfriend, either."
you know what i'm talking about.,i don't have any idea.
of course you can.,i don't have enough will power.
your wallet is empty?,i don't have even one dollar in it.
they like guys with new cars.,i don't have money or a new car.
let's play cards.,i don't know any card games.
poetry sucks.,i don't know anyone who likes it.
but the best deal was five pounds of potatoes for 99 cents.,i don't know how that store makes money.
i love all their songs.,i don't know which one i like the best.
do you know what movie you're going to watch?,"i don't know, but was there a certain movie you wanted to see?"
really? how many do you have?,"i don't know, maybe one hundred."
i am going to see a movie with a friend of mine. what about you?,i don't know.
what happened?,i don't know.
what's this stain?,i don't know.
where did you lose it?,i don't know.
who thinks that?,i don't know.
what's the weather like?,i don't know. i just woke up.
how smart are you?,i don't know. i think i'm average.
what do you think it is?,i don't know. i think it's old age.
then why is there mud on the carpet?,i don't know. it's not my mud.
what is there to eat?,i don't know. look in the fridge.
why not?,i don't know. maybe i'm not rich enough.
how did you get it?,i don't know. maybe it was from a shopping cart.
why not? everyone knows he's a firebug. he loves to start fires.,i don't know. sometimes the law doesn't make sense.
how much is it?,i don't know. the tag is missing.
what's the weather going to be like this weekend?,"i don't know. whenever the weather comes on, i switch channels."
you like to see it disappear.,i don't like it reheated.
that is a beautiful house.,i don't like it.
we have to practice every day.,i don't like practice.
of course you are. you ate everything on the table.,i don't like to eat leftovers.
i wish i had a good nose. mine is way too big.,i don't mean good-looking. i mean good-smelling.
especially the metal ones.,i don't park at a store that uses metal shopping carts.
do you feel better now?,i don't really feel too well yet.
how come?,i don't really like parties.
why not?,i don't really want to.
i went to the market yesterday.,i don't see anything.
because you don't want to smell bad.,i don't smell bad.
"well, he can enjoy it while it lasts.",i don't think he even got paid for it.
"well, you can't have everything.",i don't think i want to go to your heaven.
you might even dream about dinner.,i don't think i'm going to dream about anything. i'm really tired.
are you going to be there?,i don't think so.
you eat too much chocolate.,i don't think so.
you're kidding. you might get killed.,"i don't think so. after i finish, i'll have enough money to go to college."
tell me when you finish.,i don't think so. you'll just give me more work.
are you having problems with it?,i don't understand some things.
i've been missing you like crazy.,i don't understand why you haven't come to visit me.
it's the force that pulls everything down.,i don't understand.
that means month/day/year. use numbers.,i don't understand.
i will poke your eyes out.,i don't want any other woman.
i bought lots of oranges and apples.,i don't want fruit. i want something tasty.
"no, i'm serious.",i don't want to date a blind woman.
what's stopping you then?,i don't want to go alone.
"if we are bad, we will be unhappy forever in hell.",i don't want to go to hell.
"so then, why don't you just go?",i don't want to see a movie by myself.
i'll say.,i drove around for half an hour.
but you eat fruits.,"i eat two apples, one banana, and one orange every day."
"tell me, what do you enjoy doing in your spare time?",i enjoy drawing and painting.
what kind of music do you enjoy listening to?,i enjoy listening to all kinds of music.
what genres?,i enjoy listening to both rock and r&b.
"like what, for instance?",i enjoy rock and r&b.
"well, you should do something that you enjoy.",i enjoy selling. i was born to sell.
what interests you in that type of music?,i enjoy the different types of instruments that they use.
"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes."
i enjoyed talking to you.,i enjoyed talking to you too.
i feel the same way. it smells so good after it rains.,i especially love the night air when it rains.
let me think a minute.,i feel like chinese.
"yes, there is.",i feel safe here.
and they were expensive houses.,i feel so sorry for those people.
why feel sorry for rich people?,i feel sorry for anyone who loses their home.
hmm. i have only one best friend.,i feel sorry for you.
i like how clear the sky gets after it rains.,i feel the same way. it smells so good after it rains.
"i mean, it's just coffee.",i figured that.
how much did you buy?,i filled up my freezer with ice cream.
how long have you known how to do that?,i first learned how to do it in high school.
then what did you do?,i folded all the towels.
you know what that means.,i forgot.
that's a good idea.,i found a button in my pant cuffs one time.
did you find a spot?,"i found a spot, but someone cut in and took it from me."
that was very nice of you.,i found out that she gave it to her new boyfriend.
i never miss the food and drink section.,i gave a subscription to my parents.
what happened?,"i gave her $1,000 for her birthday. i told her to spend it on herself."
what college do you go to?,i go to pasadena city college.
what school do you go to?,i go to pcc.
what happened to your plans?,i got a d in college chemistry.
what happened to your car?,i got a dent in the parking lot.
"no, i haven't.",i got a promotion at my job.
you haven't told me anything yet.,i got a promotion at work earlier this week.
what are you talking about?,i got a ticket downtown for $140.
it sure isn't.,i got a ticket yesterday.
when did you get divorced?,i got divorced two years ago.
"really, where did you get it?",i got it from macy's.
what happened?,i got laid off because there was no work.
that's terrible! when did it happen?,i got laid off last week.
what happened?,i got laid off.
what did you do?,i got out of my car.
that's exactly how i felt.,"i got the movie when it came out on dvd, do you want to come over?"
those are great. how much were they?,i got them for forty.
"no, it isn't. he almost died when he was little.",i guess he has to be very careful about what he eats.
he moved out of our house.,i guess he really liked his new girlfriend.
how easy is that?,i guess people just don't care.
and then will she look normal again?,i guess so.
then why does everyone lock their doors?,i guess they haven't read this article.
"we had a $40 meal, and he left a $1 tip!",i guess you can't go back to that restaurant.
we watch people walk by with their dogs.,i guess you see lots of different dogs.
what happened?,"i had a car problem, so i went online."
so am i.,i had a long day.
how were you sick?,i had a stomachache.
i'm having a party this friday.,i had no idea.
yikes! what was that noise?,i had to blow my nose.
so was i.,i had to bring work home with me.
you got up real early.,i had to take my friend to the airport.
i'm really glad that you came to see me.,i had to. i was missing you a lot.
what did you say to her?,"i had two pineapples in my cart, and she asked where i had found them."
"a dentist, i'm sure.",i hate flossing more than brushing!
"well, why don't you?",i hate going to parties.
no more homework.,i hate homework.
he didn't give you any medication?,i hate medication. it makes me feel different.
so it won't get sick. just like you get shots.,i hate shots.
you know the rules.,i hate the rules! i can't wait till i grow up.
what kind of car do you have?,i have a honda.
what kind of dog do you have?,i have a little poodle.
everyone wants you to solve their problems.,i have enough stress from trying to solve my own problems.
mine too.,i have it on dvd at my house if you want to come over and watch it.
"that should be a nice trip. lots of fun, and lots of food.",i have no idea how much it will cost.
has she given out a lot of invitations yet?,"i have no idea, she hasn't given out many though."
where did you lose it?,i have no idea.
do you know why i pulled you over?,i have no idea. all of a sudden i heard your siren.
what would you do if you lost your job?,i have no idea. i've been here for 20 years.
you don't have the money?,i have no insurance.
i feel sorry for you.,i have only a few friends.
i saw it eight times.,i have the dvd.
why? i still wanted to talk to you.,i have things to do.
when do you have to be at the airport?,i have to be there two hours early.
why? we're already late.,i have to check the stove.
i wasn't done talking to you.,"i have to do some things, and besides, it's not polite to be nosey."
you have to change their diapers.,i have to feed them.
what's the rush?,i have to get off the phone now.
the street isn't wet.,i have to go shopping today.
which movie is your favorite to watch?,"i have to say, my favorite movie is superbad."
where are you going?,i have to walk the dog.
everything's been good with you?,i haven't been better. how about yourself?
a pc or a mac?,i haven't decided yet.
all you've lost is some sweat.,i haven't even lost one pound of fat?
are you serious?,i haven't heard anything about it.
have you heard the news?,i haven't heard anything.
"i haven't told you what happened yet, have i?",i haven't heard anything.
"it may have been random, but have you?",i haven't lately.
where have you looked?,i haven't looked anywhere yet.
"there's a new girl in school, have you seen her yet?",i haven't seen her yet.
that sounds like fun. what's the weather going to be like?,i heard that it's going to be warm this weekend.
i thought you knew.,i honestly didn't know.
i'm glad sunday is only once a week.,i hope god didn't hear that.
i hope i don't come back as a fish.,i hope i come back as a cat.
i think some fish have blue eyes.,i hope i don't come back as a fish.
"yes, and he didn't tell the buyer.",i hope judge judy made the seller take the phone back.
i think we'll be there in half an hour.,i hope so. i have to go to the bathroom.
i think there are more fish.,i hope so. i love to eat fish.
i'll go.,i hope that i'll see you there.
i think that it's going to rain.,i hope that it does rain.
look! he just got out of the car and started running.,i hope the police catch him.
we'll be at mcdonald's in just a few minutes.,i hope they are fast minutes.
of course it did. why stop after you've run over two people?,i hope they find them and put them in jail for life.
thank you.,i hope they fit.
i hope we'll see a home run.,i hope we'll catch a foul ball.
i love to eat the hot dogs.,i hope we'll see a home run.
"no, thanks. i already took some medicine.",i hope you feel better.
that's okay.,i hope you feel better.
i hope they fit.,i hope you kept the receipt.
he went to las vegas. he lost it all gambling.,i hope your mom broke up with him.
that's it?,i injured my back one time just by sneezing.
me too.,i just cut myself again.
it gives you money?,i just insert my debit card into the machine.
are you sure? i never heard of such a thing.,"i just peeled it, and i'm looking at it right now."
is there a reason why?,i just really don't want to go.
of course i will.,i just wanted to give you the good news.
of course i will.,i just wanted to let you know what happened.
that's such a hassle.,i knew you didn't love me.
that sounds delicious.,i know a good chinese restaurant.
"when he licks his lips, you know he has a good hand?","i know he has a good hand, so i don't bet."
let me look at our list.,i know that we need milk.
it's better to be pale than to have skin cancer.,i know that.
the speed limit is 65.,i know that.
"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot."
i want it to cool down some.,"i know what you mean, i can't wait until it's winter."
i want to. i heard it's going to be really fun.,"i know, it does sound pretty awesome."
"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside."
"wow, how exciting.","i know, you should really go and see her and the baby."
"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right."
"this california weather is so uncertain, it's impossible to know what'll happen.",i know. every day the weather seems different.
i didn't love you at first.,i know. i had to chase you for a while.
good. i hope it doesn't cool off this weekend.,i know. i really want to go to the beach.
it's an ugly day today.,i know. i think it may rain.
you can travel all over the world.,i know. i went to china yesterday.
when did you learn how to do that?,i learned back in high school.
"no, today people like lots of action.",i like a good story.
what else?,"i like all my classmates, too."
how come?,i like how clear the sky gets after it rains.
how do you like it so far?,i like it so far. my classes are pretty good right now.
what type of music do you like to listen to?,i like listening to different kinds of music.
i'm glad to hear there's something you don't like to eat.,i like my food hot and fresh.
"no pets, no smoking.",i like that. let's stay three nights.
i like the political cartoons.,i like the beautiful photos of the houses for sale.
why is that?,i like the different instruments that they use.
why do you like that type of music?,i like the kinds of instruments that they use.
do you believe the tv ads?,i like the one where the fireman tells us why we should vote yes.
i don't know which one i like the best.,i like the ones i can sing along with.
all the news in only 50 pages.,i like the political cartoons.
this hot bread is delicious.,i like this restaurant because they give you free bread.
baseball is fun.,i like to hit the ball.
what kind?,i like to listen to rock and r&b.
i like to hit the ball.,i like to run around the bases.
i like a good story.,i like to see actors who are like real people.
i like to run around the bases.,i like to slide into the bases.
what's your favorite thing to do?,i like to watch people.
me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold."
but it went by fast. it was interesting.,i liked it.
do you listen to the radio?,i listen day and night.
what is your favorite kind of music?,i listen to various types of music.
where do you live?,i live in pasadena.
they are the best musical group ever.,i love all their songs.
of course.,i love baseball.
"me, too. i love them roasted and salted.",i love boiled peanuts.
i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.
tell me you're joking.,i love that show.
i love to eat the peanuts.,i love to eat the hot dogs.
so do i.,i love to eat the peanuts.
computers are so cool.,i love to go online.
i love you.,"i love you, too."
i went to macy's and picked it out.,i love your outfit right now.
how did you like it?,i loved it!
how did you like it?,i loved it. i still remember how amazing it was.
did you like it?,i loved it. i want to live there.
"i love you, too.",i loved you the first day i saw you.
i didn't know that you saw superbad before.,i made sure to be in line to see it the first day it came out.
she has pretty light brown eyes.,i may know which girl you're talking about.
what do you mean?,i mean i have wonderful students.
what do you mean?,i mean you're wasting your life.
"well, mostly i'll try to avoid it.","i mean, are you going to get buried or cremated?"
what do you mean?,"i mean, it's just coffee."
what do you mean?,"i mean, keep your belongings close to you."
what do you mean?,"i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges."
"same as ever, by mail. all it costs me is a 42-cent stamp.","i meant, are you going to vote for or against the new taxes?"
why do you hate to go outside?,i meet too many jerks.
it's no problem. i was really missing you anyway.,i missed you too.
why did you do that?,i mixed them together.
a band-aid might not work.,i must not use this finger until the cut heals.
anything else?,i need a notebook.
what do you need for school?,i need pencils.
you should take a break.,i need to type to make money.
what do you need to do?,i need to withdraw some money.
i always read the film reviews.,i never miss the food and drink section.
"what if you fall while you're holding the light bulb, and it breaks and pieces go into your eyes?",i never thought about that.
"of course, the cheese with holes in it.",i never used to buy swiss cheese.
where did you park it?,i parked it right here.
what kind of dressing do you use?,i pour lots of french dressing on top.
but think about all the power you'd have.,i prefer my quiet little life to all the power in the world.
don't drink milk out of the carton. use a glass!,i promise i'll never drink out of the carton again.
that tasted so good.,i put lemon and butter in it.
how do you know that?,i read a lot.
so do i.,"i read it once, and i subscribed."
why not?,i really can't stand going to parties.
how many invitations has she given out?,"i really don't know, but i don't think she gave out that many yet."
i'm not being nosey. i'm just asking.,i really don't think it's any of your business.
so go then.,i really don't want to go by myself.
why are you trying to rush me off the phone?,i really have to go.
it sounds like it will be.,i really hope it doesn't get cold.
because you can see the stars perfectly.,i really hope it rains today.
i bought it from the macy's at the santa anita mall.,i really like that outfit.
these are called all star chuck taylors.,i really like those. how much did they cost?
why is that?,i really love how rain clears the air.
i'm really happy that you came to visit me.,i really missed you a lot.
the stars look so much closer after it rains.,i really want it to rain today.
"no, i haven't. why?",i really want to go to the movies this weekend.
"i really don't know, but i don't think she gave out that many yet.","i really want to go, so i hope that she gives me my invite soon."
i'm going to dinner with my family.,"i really wanted you to come, but i understand."
i thought you heard.,i really wasn't told anything.
our team played hard and won.,i really wish i went to the game.
"yes, it would be.",i really wish it wasn't so hot every day.
"you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.
what did you say?,i said i have to go to the bathroom.
they're in a different world.,i saw a painting of a jar that was full of pencils.
that doesn't make it right.,i saw dad wipe his nose on his sleeve yesterday.
i saw it twelve times.,i saw it eight times.
yes. it is a great movie.,i saw it twelve times.
what's the matter?,i saw you looking at that woman.
"yeah, i loved that class.",i see that you're pretty talented.
"so, what's the problem?","i sent them $20 using my credit card, but they never sent me the solution."
what are you going to do?,i sent them an email asking for my money back.
shake it a couple of times.,i shook it. there is no more ink.
why was that?,i sprinkled salt and pepper on the food before i tasted it.
i haven't been better. how about yourself?,i started school recently.
how are you doing that?,i started shopping at the dollar store.
i didn't know that.,i started teaching five years ago.
why didn't you go to school yesterday?,i stayed home because i wasn't feeling well.
so many people are out of work.,"i still have my job, thank goodness."
what did you do?,i stood on the great wall and looked all around.
you're yawning.,i sure am.
see those stains?,i sure do.
did someone steal it?,i sure hope not.
so maybe he'll go to jail forever?,i sure hope so.
now they're adding old tv shows to the old movies.,i sure would like to see something interesting for a change.
what are you eating now?,i switched from pasta to potatoes.
high school.,i teach high school english.
"yes, and they ask me what jobs are the best.",i tell my students to become a teacher.
so how do you think positive?,i think about nice things.
how many best friends do you have?,i think about twenty-five.
"i'll vote for him next time, too.",i think everyone will.
they pay money to play this silly game!,i think golfers have a mental problem.
like what?,i think he closed the bowling alley in the white house.
he sank a 25-footer last year at the same tournament to win by one stroke.,i think he is from outer space.
then why did the lifeguard dive into the water?,i think he wanted to cool off.
i was scratching my nose.,i think i know the difference between picking and scratching.
"she has light brown eyes, absolutely beautiful.",i think i know who you're talking about.
what's the matter?,"i think i know, because this happened before."
it's getting later every minute.,i think i left the water running.
when did you lose it?,i think i lost it today. i used it yesterday.
i got them for forty.,i think i might go and find me my own pair of chucks.
the first thing i noticed was her beautiful brown eyes.,i think i might've bumped into her before.
what about the unfriendly dogs?,"i think if you are friendly to dogs, they are friendly to you."
that's a great price.,i think i'll buy both of them.
i don't know. look in the fridge.,i think i'll make a sandwich.
"well, hold on a little longer.",i think i'm going to explode.
they were about forty dollars.,i think i'm going to go buy myself a pair.
i have no idea how much it will cost.,i think it depends on the season and on your cabin.
"it was long, too.",i think it was about 45 minutes long.
will it be good beach weather?,i think it will be.
how long will it take me to learn?,i think it will only take you a year or two.
so does mine.,i think it's an old people's smell.
"and it's deep, too.",i think it's five miles deep.
do you know why?,i think it's the ice cream.
you think they won't fit?,i think i've put on some weight.
what do you think people joke about the most?,i think most jokes are about women.
it looks like blood.,i think my nose was bleeding.
of course.,i think only the family will be there.
"yeah, so are you planning on going?",i think so. it sounds like it's going to be a lot of fun.
but what if i'm a fish in my next life?,i think some fish have blue eyes.
the price of stamps goes up and up.,i think stamps used to cost a penny.
are you going to go and visit her and the baby?,i think that i might.
"yes, i think so too.",i think that it's going to rain.
i haven't seen her yet.,i think that she is very pretty.
thanks. i found these new shoes earlier at the store.,i think that those are some really nice shoes. what kind are they?
we should hang out some time.,i think that would be nice.
i like the kinds of instruments that they use.,i think that's an excellent reason to like something.
are there more fish or more people?,i think there are more fish.
any one. i need to sharpen this pencil.,i think there's one on the dining room table.
don't they clean the bus every night?,i think they do.
where are the band-aids?,i think they're in the medicine cabinet.
i think golfers have a mental problem.,i think they're nuts.
who's paying for that?,i think we are!
where do you want to go?,i think we should go out to eat.
"it is delicious, especially with butter.",i think we should just leave after we fill up on the bread.
it was really nice talking to you also.,i think we should really do something sometime.
how far away is that?,i think we'll be there in half an hour.
i've never been to a french restaurant.,i think you'll love the food.
that's dangerous.,i thought about getting out and taking a taxi home.
i read a lot.,i thought drunks caused most accidents.
"no, i'm not. it's march. time is running out. seats are selling out right now.",i thought i would wait until october.
of course. it's all over the news.,i thought it was next sunday.
it sure is.,i thought school was hard.
"well, you can't play baseball in a rainstorm.",i thought they were playing under a dome.
i need a job.,i thought you had a job.
okay. i'll take your word for it.,i thought you had an elephant in your house.
nobody told me.,i thought you heard.
i need some pants.,i thought you just bought a pair.
i didn't know that.,i thought you knew.
she asked you about your pineapples?,"i told her i had gotten the last two on the shelf, but i offered her one of mine."
what did you say?,i told her i wouldn't trade her for any other woman in the world.
"boy, that is a good nose.",i told her she should apply for a job at customs.
did you tell her about school?,i told her that school is fun.
would you like anything for your stomach?,i took something earlier.
that takes some time.,i took the dog for a walk.
it seems fine to me.,i toss and turn all night.
what did you do?,i turned up the volume.
why do they hurt?,i type too much.
i really can't stand going to parties.,"i understand, i guess."
the sky looks so clean after it rains. i love it.,i understand. rain does make it smell cleaner.
so how do you make long distance calls?,i use a calling card.
so what's the problem?,i used all my savings on this one company.
where do you get these crazy ideas?,i used to cook in a restaurant!
me too.,i usually eat a simple salad.
i'll bet he enjoyed his walk.,i vacuumed the entire house.
who did you vote for?,i voted for obama.
who did you vote for for president?,i voted for ralph nader.
"that's right, it really would be.",i want it to cool down some.
"well, just call the front desk. they'll give us new sheets.",i want sheets without stains on them.
it wouldn't be good if it got cold this weekend.,"i want this trip to be perfect, i hope it stays warm."
yeah. it's a lot of fun to slide.,i want to be a baseball player when i grow up.
sure. why do you need it?,i want to buy lunch.
that sounds like fun. where do you want to go?,i want to cruise to hawaii.
what was the reason for your call?,i want to do something tomorrow with you.
what do you want to do?,i want to get a puppy for my son.
you shouldn't lie in the sun for too long.,i want to get a tan. i don't want to look so pale.
"no, not recently.",i want to go to see a movie this weekend.
that sounds nice.,i want to show you my new car.
why don't you go to bed?,i want to watch this tv show.
"you're probably right, do you intend on going to the party?",i want to. i heard it's going to be really fun.
what do you want me to do?,i want you to clean the bathroom.
i was meaning to ask you if you saw the basketball game on friday.,"i wanted to go, but i couldn't."
"oh, really? that's nice.",i wanted to see if you wanted to come.
why is that?,i warned her about her new boyfriend. she didn't listen to me.
what was your last job?,i was a painter.
i've called you a hundred times today.,i was busy doing something. i apologize.
neither did i.,i was busy the whole day.
what for?,i was crossing the street.
you shouldn't make him wait.,i was doing my homework.
my family and i are going to dinner.,i was hoping you would come.
i couldn't keep from laughing throughout the whole movie.,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.
i went to see it the day it came out.,i was laughing through the whole movie.
then why were you looking at her?,i was looking at something else.
i had to. i was missing you a lot.,i was missing you too.
"you know, that woman with the big boobs.",i was not looking at her.
what's the matter?,i was on a plane.
what were you doing?,i was scratching my nose.
what reason do you have for missing school?,i was sick.
did you always know how to draw and paint?,i was taught in high school how to draw and paint.
yes. i've never been there.,i was there when i was a kid.
sounds good. what did you have in mind?,i was thinking about seeing a movie.
are you going to go anywhere?,i was thinking of driving to arizona.
has anyone told you about jessica's party coming up?,i was told about it already. i'm just waiting for my invitation.
were you able to attend friday night's basketball game?,i was unable to make it.
what were you doing?,i was writing a letter.
how do you prepare the potatoes?,"i wash them, and then steam them for 15 minutes."
what did you wash?,i washed the sheets and towels.
i attended school today. did you?,i wasn't able to attend school because i was feeling ill.
i've got to go.,i wasn't done talking to you.
don't pick your nose.,i wasn't picking my nose.
why weren't you at school yesterday?,i wasn't really feeling well.
i love that show.,i watched it once. that was enough.
what did you do?,i watered all the plants.
what store did you get it from?,i went to macy's and picked it out.
have you gone to school today?,i went to school today. did you go to school?
i didn't think you saw that movie.,i went to see it the day it came out.
did you go swimming?,i went to the beach every day.
it's almost empty.,i went to the market yesterday.
you should go to bed.,i will as soon as i finish this article.
"no problem, you're welcome.",i will be glad to do the same for you when you're sick.
it wasn't that loud.,"i will blow my nose sometime for you, and you'll see."
i don't want any other woman.,"i will chop your toes off, one by one."
that's okay with me.,i will have a radio in every room of my house.
that won't make you rich. nobody will talk to you.,i will keep knocking on doors.
so how do you plan to become rich?,i will knock on the doors of all the corporations.
what will you do?,i will play the radio as loud as i want.
"you won't catch me, because i love you. i'm not a cheater.",i will poke your eyes out.
don't rub the numbers off the remote.,i will rub gently but firmly.
i saw dad wipe his nose on his sleeve yesterday.,i will talk to your father about that.
ask the clerk.,i will.
it's a flying zoo!,i wish i could afford first class seats.
there is no crime here.,i wish i could move here.
some people have good noses.,i wish i had a good nose. mine is way too big.
thank you very much.,i wish i had a talent like that.
of course you do.,i wish i had never started.
our team was victorious.,i wish i was free that night. i'm kind of mad that i didn't go.
"no, i never did. all i know is that i got a's and b's in school.",i wish i was really smart.
"i know, you're absolutely right.",i wish it would cool off one day.
thank you. so do you.,i wish my eyes were blue.
i like it so far. my classes are pretty good right now.,i wish you luck.
i don't really like parties.,"i wish you would go, but that's okay."
"yes, just in english alone.",i wonder if every language has jokes.
"wear a jacket, too.",i wonder if i should bring my gloves.
yuck! no water for me.,"i wonder if the cooks' nails are dirty, too."
"yes, i guess most of us are stuck in a routine.",i wonder if there is any job that you don't repeat over and over.
he wanted to take it home yesterday.,i wonder what he'll name it.
"by the time you get home, you'll be too tired to even eat.",i won't be able to play with the kids.
"well, you should buy pants with stronger pockets.",i would if i could find someone who makes strong pockets.
buy a new one.,i would if i had the money.
did you take it to a computer shop?,i would if i had the money.
would you have dinner with me?,i would like to.
you can see the stars so much more clearly after it rains.,i would love for it to rain today.
i know. every day the weather seems different.,i would love it if it wasn't always so unpredictable.
i haven't lately.,i would love to catch a movie this weekend.
cats have beautiful eyes.,i would love to have blue cat-eyes.
you and everybody else.,i would never want to be president.
winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.
i'm sorry to hear that. would you like the assignments from english class?,"i would really appreciate that, thanks."
how tall would you say that she is?,i would say she's only five feet.
bring me a better steak.,i wouldn't do that.
working.,"i would've come to see you sooner, but i've been busy too."
she did? why didn't anyone tell me?,i would've thought that somebody would have told you.
i'll be there.,i'd better see you there.
i'll definitely try to make it the next time.,i'd better see you there.
"yes, but who is the greatest?",i'd have to say babe ruth.
do you want to go out to eat?,i'd like that.
"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.
let's go to a movie.,i'd rather not.
look at this traffic.,i'd rather not.
"he might relax, but it makes me nervous.","if his wife doesn't mind, you shouldn't mind."
i'm an open book. watch me all you want.,"if i catch you, you'll be sorry."
"okay, just one more piece. pass the butter, please.","if i owned a restaurant, i would never serve hot bread before the main course."
that's what you think.,"if i smelled bad, i could smell me."
i don't know. i think it's old age.,"if it's old age, why don't both of your hands hurt?"
i sure would like to see something interesting for a change.,"if more people donate money, pbs could offer new shows."
it's a lot better than paying someone $60.,"if my hard drive crashes, i'll just call you."
okay. i think i'll be awake by then.,"if not, your nose will wake you up."
thanks.,if only i was talented.
i mixed them together.,"if the coffee still tastes okay, that's a good idea."
you put all your eggs into one basket.,"if the company goes out of business, i'll have nothing."
we want to make sure all the students are out of the building.,"if they are all outside, then what?"
your neighbors will hate you.,"if they don't like it, they can move."
that's what many people believe.,"if we are bad, we will be unhappy forever in hell."
no one knows what happens after we die.,"if we are good, we will be happy in heaven with god."
"the kids love the house, too.","if we don't buy it, someone else will."
it's no trouble at all.,"if you get sick, i'll return the favor."
i certainly hope not!,"if you got laid off, you'd be flipping hamburgers, too."
me too. there are no guarantees.,"if you lose your job, you can move in with me."
i don't understand.,"if you pour water into a glass, the water goes down into the glass."
i haven't even lost one pound of fat?,"if you want to lose fat, you've got to do this hike every day."
"oh, yes, because of all the killer germs.","if you're a smart doctor, you stay away from hospitals."
what do you mean?,"if you're going to make a wish, wish that you were really rich or famous."
at 8:00 p.m.,i'll be there.
i took the dog for a walk.,i'll bet he enjoyed his walk.
a third guy punched one of the two guys.,"i'll bet he was drinking, too."
"no, the car stopped and the passenger pushed the injured student off the hood.",i'll bet the car continued on its way.
two guys got into an argument.,i'll bet they were drinking.
i thought i would wait until october.,i'll bet this is the first time you've ever flown during christmas.
and then i made lunch.,i'll bet you were hungry!
"yes, i like that one, too.",i'll call him blacky.
"all right, so i'll see you then.",i'll call you later.
"okay, until next time then.",i'll call you so we can set that up.
let's turn on the heat.,i'll check to make sure that all the windows are shut.
i was hoping you would come.,i'll definitely try to make it the next time.
did you feed the cat?,i'll do that in a minute.
"well, you'd better get her something.",i'll get her a nice card.
that will make him so happy.,i'll get him one of those little dogs.
we can be there in 20 minutes.,i'll get our fishing rods.
i'll get our fishing rods.,i'll get the bait.
you'd be blind for the rest of your life!,i'll get the stepladder.
i'll make an appointment tomorrow.,i'll get the yellow pages for an eye doctor.
"do it quickly, please, so i can change channels during commercials.",i'll give it back to you in a couple of minutes.
i liked it.,"i'll give you a speech like that, too."
"we can give him five more minutes, and then leave.",i'll go up front and talk to the manager.
it starts at 8 o'clock.,i'll go.
just boil raw peanuts in salt water until the shells are soft.,i'll have to try them sometime.
of course. it's not a hard job.,i'll help you.
"yeah, maybe next time.",i'll hold you to that.
"it usually gets here at noon on tuesday, which is tomorrow.",i'll just take it out to the street tomorrow morning.
how are you going to do that?,i'll just use the atm.
"well, if you bring your receipt, maybe they'll give you $400.",i'll keep my receipt and my gun.
i'll make sure and come to your next party.,i'll look for you at my next party.
he'll give you a prescription for glasses.,i'll make an appointment tomorrow.
maybe you can come next time.,i'll make sure and come to your next party.
that's what made it so great.,i'll make sure and make it to the next one.
"maybe you should, just in case it gets colder.",i'll put a glove in each pocket.
"yes, it is.",i'll put on my cap.
read the phone number to me.,"i'll read it very loud, in case your hearing is getting bad, too."
"okay, i'll get a bucket.",i'll rinse the car first.
a travel show follows another travel show.,i'll say! i've gone around the world a dozen times already!
parking at school is impossible.,i'll say.
"yes, because you can be too sensitive to odors.",i'll say. my girlfriend has a nose like a drug dog.
that sounds like fun. let's do it.,i'll see you tomorrow then.
don't let water get into any of the cracks.,i'll squeeze the cloth so it's almost dry.
"no, thanks. just let me sleep until i wake up.",i'll start dinner at 6:00.
i'm going to call you soon.,i'll talk to you later.
i don't know any card games.,i'll teach you one.
"yes, and it takes about five minutes each time.",i'll try.
